id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
127,Cloud Engineer,Cloud Infrastructure Engineer,Horizon Engineering,Hybrid – SF,Full-time,"$150,000 – $180,000","We are hiring a Cloud Infrastructure Engineer to design and maintain scalable, secure cloud infrastructure.","[""Multi-cloud"", ""Terraform"", ""Ansible"", ""Kubernetes"", ""Bash""]","[""GKE"", ""Anthos"", ""Cloud Run"", ""BigQuery""]",1-3 years,"[""Design and implement cloud architectures on AWS following the Well-Architected Framework"", ""Build reusable Terraform modules for infrastructure provisioning"", ""Manage cloud costs and implement tagging and budget alerts"", ""Ensure security and compliance across cloud accounts"", ""Collaborate with development teams to design cloud-native applications""]"
128,Mobile App Developer,React Native Developer,Pinnacle Software,Hybrid – NYC,Contract,"$90,000 – $110,000","We are looking for a React Native Developer to build beautiful, performant mobile experiences for our users.","[""React Native"", ""JavaScript"", ""TypeScript"", ""Redux"", ""REST APIs"", ""Microservices"", ""Agile""]","[""Expo"", ""GraphQL"", ""Storybook"", ""Detox"", ""Swagger""]",6+ years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
129,Cybersecurity Analyst,Information Security Analyst,NovaTech Solutions,"Austin, TX",Full-time (Hybrid),"$150,000 – $180,000","Join our security team as a Information Security Analyst and help detect, investigate, and respond to security incidents.","[""Zero Trust"", ""PAM"", ""DLP"", ""SOAR"", ""MITRE ATT&CK""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""Pair Programming""]",2-4 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
130,Data Analyst,Senior Data Analyst,Quantum Labs,Hybrid – SF,Contract,"$160,000 – $200,000",We're looking for a Senior Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git"", ""Confluence""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Slack"", ""BDD""]",1-3 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
131,Frontend Developer,Angular Developer,Pixel Dynamics,"San Francisco, CA",Contract-to-Hire,"$120,000 – $150,000","We're hiring a Angular Developer to craft intuitive, performant UIs for our SaaS platform.","[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Git"", ""Linux"", ""CI/CD""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma"", ""Scrum"", ""Postman""]",5-7 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
132,Backend Developer,Node.js Developer,Quantum Labs,"San Francisco, CA",Full-time (Hybrid),"$200,000 – $250,000",We're looking for a skilled Node.js Developer to build the backbone of our cloud-native applications.,"[""Python"", ""Django"", ""PostgreSQL"", ""REST APIs"", ""Git"", ""CI/CD""]","[""AWS"", ""Microservices"", ""JUnit"", ""Prometheus"", ""OpenAPI"", ""New Relic""]",3-5 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
133,Full Stack Developer,Full Stack Architect,Meridian Cloud,"San Francisco, CA",Full-time,"$150,000 – $180,000",We're looking for a Full Stack Architect who thrives in ambiguity and can ship end-to-end product experiences.,"[""React"", ""Python"", ""FastAPI"", ""PostgreSQL"", ""AWS"", ""CI/CD"", ""REST APIs""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform"", ""Postman""]",3-5 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
134,Data Scientist,Principal Data Scientist,NovaTech Solutions,"Amsterdam, Netherlands",Full-time (Remote),"$200,000 – $250,000","As a Principal Data Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""Git""]","[""Kubeflow"", ""Feature Store"", ""Great Expectations"", ""Ray"", ""Postman""]",6-8 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
135,Machine Learning Engineer,Senior ML Engineer,Apex Digital,"Chicago, IL",Contract,"$130,000 – $160,000",We're looking for a Senior ML Engineer to design robust ML infrastructure and deploy intelligent systems.,"[""Python"", ""TensorFlow"", ""Spark"", ""Airflow"", ""PostgreSQL"", ""Linux""]","[""ZenML"", ""Evidently"", ""Prometheus"", ""Grafana"", ""PagerDuty"", ""Swagger""]",1-3 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
136,DevOps Engineer,DevOps Lead,Pixel Dynamics,"Chicago, IL",Contract-to-Hire,"$95,000 – $120,000",We need a DevOps Lead to lead our DevOps transformation and drive continuous delivery at scale.,"[""Terraform"", ""AWS"", ""Ansible"", ""Jenkins"", ""Bash""]","[""Flux"", ""Kustomize"", ""Falco"", ""Jaeger"", ""TDD""]",5-7 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
137,Cloud Engineer,GCP Cloud Engineer,BlueSky Analytics,Singapore,Full-time (Remote),"$110,000 – $130,000","We are hiring a GCP Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Microservices""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie"", ""OpenAPI"", ""TDD""]",7+ years,"[""Architect and deploy Azure-based solutions for enterprise clients"", ""Implement governance and policy frameworks using Azure Policy"", ""Manage AKS clusters and containerized workloads"", ""Automate cloud operations using PowerShell and Azure DevOps"", ""Drive cloud migration projects from on-premise to Azure""]"
138,Mobile App Developer,Mobile Architect,Cobalt Platforms,Hybrid – SF,Contract-to-Hire,"$110,000 – $130,000",Join our mobile team as a Mobile Architect and help ship features to millions of iOS and Android users.,"[""React Native"", ""JavaScript"", ""TypeScript"", ""Redux"", ""REST APIs"", ""Agile""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel""]",0-2 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
139,Cybersecurity Analyst,Senior Security Analyst,Meridian Cloud,"Toronto, ON",Contract,"$70,000 – $90,000",We are hiring a Senior Security Analyst to protect our infrastructure and customer data from evolving cyber threats.,"[""SIEM"", ""IDS/IPS"", ""Network Security"", ""Linux"", ""TCP/IP"", ""REST APIs""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform""]",0-2 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
140,Data Analyst,Marketing Data Analyst,Meridian Cloud,"Toronto, ON",Full-time (Hybrid),"$110,000 – $130,000",We're looking for a Marketing Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git"", ""CI/CD"", ""Agile""]","[""R"", ""Airflow"", ""BigQuery"", ""Segment""]",0-1 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
141,Frontend Developer,UI Developer,DataVault Inc.,"Seattle, WA",Full-time (Hybrid),"$150,000 – $180,000",We are looking for a talented UI Developer to join our product engineering team and help build world-class web experiences.,"[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack""]","[""Accessibility (WCAG)"", ""Micro-frontends"", ""Vite"", ""Playwright"", ""TDD""]",3-5 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
142,Backend Developer,Lead Backend Developer,Meridian Cloud,"Boston, MA",Full-time (Hybrid),"$120,000 – $150,000",Join our engineering team as a Lead Backend Developer and help design robust APIs and microservices.,"[""Go"", ""gRPC"", ""PostgreSQL"", ""Docker"", ""Kubernetes"", ""REST APIs""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""BDD""]",1-3 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
143,Full Stack Developer,Full Stack Architect,Meridian Cloud,"San Francisco, CA",Full-time,"$200,000 – $250,000",Join us as a Full Stack Architect and help shape the full stack architecture of our growing platform.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Code Review""]","[""GraphQL"", ""Kubernetes"", ""CI/CD"", ""Terraform""]",7+ years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
144,Data Scientist,Junior Data Scientist,CloudBridge,"London, UK",Contract,"$130,000 – $160,000","Join our data science team as a Junior Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL"", ""Git"", ""REST APIs""]","[""Hugging Face"", ""SHAP"", ""LightGBM"", ""Kedro"", ""New Relic"", ""Scrum""]",0-2 years,"[""Develop NLP models for text classification and entity extraction"", ""Partner with product teams to define data science OKRs"", ""Create and maintain dashboards in Tableau and Looker"", ""Communicate complex statistical findings to non-technical audiences"", ""Improve data pipelines in collaboration with the data engineering team""]"
145,Machine Learning Engineer,Machine Learning Engineer,Stratos AI,Singapore,Full-time (Remote),"$120,000 – $150,000",Join our AI team as a Machine Learning Engineer and work on cutting-edge models deployed at scale.,"[""Python"", ""Scikit-learn"", ""MLflow"", ""Kubernetes"", ""Git""]","[""ZenML"", ""Evidently"", ""Prometheus"", ""Grafana"", ""Slack""]",1-3 years,"[""Develop deep learning models for computer vision tasks"", ""Optimize model inference latency using TensorRT and ONNX"", ""Implement A/B testing frameworks for model evaluation"", ""Design feature stores and manage training data versioning"", ""Mentor junior ML engineers and conduct technical interviews""]"
